group,metric,label,cc_iso3c,raw_value,value,imputed,radar_x,radar_y,data_label,hover_label
0_indicators,ind_dig,Digital services,ESP,0.8205117587600549,0.8205117587600549,,0.7925534985602027,0.21236406989766718,0.82,"ESP - Digital
services: 0.82"
0_indicators,ind_dig,Digital services,EST,1,1,,0.9659258262890683,0.25881904510252063,1.00,"EST - Digital
services: 1.00"
0_indicators,ind_dig,Digital services,FIN,0.834760581594611,0.834760581594611,,0.8063168045303178,0.21605193661754196,0.83,"FIN - Digital
services: 0.83"
0_indicators,ind_dig,Digital services,FRA,0.5946775816552075,0.5946775816552075,,0.5744144344358911,0.15391388382787702,0.59,"FRA - Digital
services: 0.59"
0_indicators,ind_dig,Digital services,GBR,0.5073809286638896,0.5073809286638896,,0.4900923427629824,0.13131984746001804,0.51,"GBR - Digital
services: 0.51"
0_indicators,ind_dig,Digital services,GRC,0.22718184468582803,0.22718184468582803,,0.21944081104603322,0.05879898810621516,0.23,"GRC - Digital
services: 0.23"
0_indicators,ind_dig,Digital services,HRV,0,0,,0,0,0.00,"HRV - Digital
services: 0.00"
0_indicators,ind_dig,Digital services,HUN,0.21816950533622037,0.21816950533622037,,0.21073555971296595,0.056466423041609835,0.22,"HUN - Digital
services: 0.22"
0_indicators,ind_dig,Digital services,IRL,0.5240280304786995,0.5240280304786995,,0.5061722083387709,0.13562843445545159,0.52,"IRL - Digital
services: 0.52"
0_indicators,ind_dig,Digital services,ISL,0.7036662702754003,0.7036662702754003,,0.6796894235475129,0.1821222321435313,0.70,"ISL - Digital
services: 0.70"
0_indicators,ind_dig,Digital services,ISR,0.7144199083987692,,0.7144199083987692,0.6900766403374416,0.18490547849399971,0.71,"ISR - Digital
services: 0.71
(imputed)"
0_indicators,ind_dig,Digital services,ITA,0.6637154328915165,0.6637154328915165,,0.6410998779365447,0.17178219456078841,0.66,"ITA - Digital
services: 0.66"
0_indicators,ind_dig,Digital services,InCiSE,0.6161446243382247,0.6161446243382247,,0.5951500053774673,0.1594699633162706,0.62,"InCiSE - Digital
services: 0.62"
0_indicators,ind_dig,Digital services,JPN,0.6897513099454611,,0.6897513099454611,0.6662486039930368,0.17852077539829697,0.69,"JPN - Digital
services: 0.69
(imputed)"
0_indicators,ind_dig,Digital services,KOR,0.5586584764117614,,0.5586584764117614,0.5396226504414225,0.1445914534033211,0.56,"KOR - Digital
services: 0.56
(imputed)"
0_indicators,ind_dig,Digital services,LTU,0.8412572629351593,0.8412572629351593,,0.8125921168223238,0.21773340147843806,0.84,"LTU - Digital
services: 0.84"
0_indicators,ind_dig,Digital services,LVA,0.9764045442545746,0.9764045442545746,,0.9431343662015012,0.25271209177773085,0.98,"LVA - Digital
services: 0.98"
0_indicators,ind_dig,Digital services,MEX,0.5856174162449412,,0.5856174162449412,0.5656629866756642,0.15156894046792105,0.59,"MEX - Digital
services: 0.59
(imputed)"
0_indicators,ind_dig,Digital services,NLD,0.8510445817038512,0.8510445817038512,,0.822045940791127,0.22026654597626488,0.85,"NLD - Digital
services: 0.85"
0_indicators,ind_dig,Digital services,NOR,0.8785666943652992,0.8785666943652992,,0.848630260204857,0.22738979289450484,0.88,"NOR - Digital
services: 0.88"
0_indicators,ind_dig,Digital services,NZL,0.6187307568671506,,0.6187307568671506,0.5976480175773631,0.1601393036679158,0.62,"NZL - Digital
services: 0.62
(imputed)"
0_indicators,ind_dig,Digital services,POL,0.4723892279038529,0.4723892279038529,,0.4562929552930841,0.1222633288827922,0.47,"POL - Digital
services: 0.47"
0_indicators,ind_dig,Digital services,PRT,0.9000064020760229,0.9000064020760229,,0.8693394275907339,0.23293879757147148,0.90,"PRT - Digital
services: 0.90"
0_indicators,ind_dig,Digital services,ROU,0.00129220645164296,0.00129220645164296,,0.0012481755845392911,3.344476398895474e-4,0.00,"ROU - Digital
services: 0.00"
